Category,Quote,Author
education,"Upon the subject of education, not presuming to dictate any plan or system respecting it, I can only say that I view it as the most important subject which we as a people can be engaged in.",Abraham Lincoln
inspirational,"Whatever you are, be a good one.",Abraham Lincoln
religion,"When I do good, I feel good. When I do bad, I feel bad. That's my religion.",Abraham Lincoln
freedom,"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally.",Abraham Lincoln
slavery,"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally.",Abraham Lincoln
wisdom,"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally.",Abraham Lincoln
inspirational,Writing is the great invention of the world.,Abraham Lincoln
writing,Writing is the great invention of the world.,Abraham Lincoln
communication,"Writing, the art of communicating thoughts to the mind through the eye, is the great invention of the world...enabling us to converse with the dead, the absent, and the unborn, at all distances of time and space.",Abraham Lincoln
space,"Writing, the art of communicating thoughts to the mind through the eye, is the great invention of the world...enabling us to converse with the dead, the absent, and the unborn, at all distances of time and space.",Abraham Lincoln
time,"Writing, the art of communicating thoughts to the mind through the eye, is the great invention of the world...enabling us to converse with the dead, the absent, and the unborn, at all distances of time and space.",Abraham Lincoln
writing,"Writing, the art of communicating thoughts to the mind through the eye, is the great invention of the world...enabling us to converse with the dead, the absent, and the unborn, at all distances of time and space.",Abraham Lincoln
hardship,"The people who had been recognized for making original contributions shared many more stories that started negatively but surged upward: they struggled early and triumphed later. Despite being confronted with more negative events, they reported greater satisfaction with their lives and a stronger sense of purpose.",Adam Grant
hope,"The people who had been recognized for making original contributions shared many more stories that started negatively but surged upward: they struggled early and triumphed later. Despite being confronted with more negative events, they reported greater satisfaction with their lives and a stronger sense of purpose.",Adam Grant
improvement,"The people who had been recognized for making original contributions shared many more stories that started negatively but surged upward: they struggled early and triumphed later. Despite being confronted with more negative events, they reported greater satisfaction with their lives and a stronger sense of purpose.",Adam Grant
patience,"The people who had been recognized for making original contributions shared many more stories that started negatively but surged upward: they struggled early and triumphed later. Despite being confronted with more negative events, they reported greater satisfaction with their lives and a stronger sense of purpose.",Adam Grant
struggle,"The people who had been recognized for making original contributions shared many more stories that started negatively but surged upward: they struggled early and triumphed later. Despite being confronted with more negative events, they reported greater satisfaction with their lives and a stronger sense of purpose.",Adam Grant
happiness,Happiness is a choice that requires effort at times.,Aeschylus
inspirational,Happiness is a choice that requires effort at times.,Aeschylus
hope,I know how men in exile feed on dreams of hope.,Aeschylus
life,I know how men in exile feed on dreams of hope.,Aeschylus
philosophy,I know how men in exile feed on dreams of hope.,Aeschylus
reason,I know how men in exile feed on dreams of hope.,Aeschylus
memories,"In visions of the night, like dropping rain, Descend the many memories of pain.",Aeschylus
pain,"In visions of the night, like dropping rain, Descend the many memories of pain.",Aeschylus
poetry,"In visions of the night, like dropping rain, Descend the many memories of pain.",Aeschylus
envy,It is in the character of very few men to honor without envy a friend who has prospered.,Aeschylus
humor,It is in the character of very few men to honor without envy a friend who has prospered.,Aeschylus
suffering,Nothing forces us to knowWhat we do not want to knowExcept pain.,Aeschylus
truth,Nothing forces us to knowWhat we do not want to knowExcept pain.,Aeschylus
philosophy,There is no sickness worse for me than words that to be kind must lie.,Aeschylus
knowledge-wisdom,"Time, as it grows old, teaches all things.",Aeschylus
time,"Time, as it grows old, teaches all things.",Aeschylus
enlightenment,Wisdom comes alone through suffering.,Aeschylus
experience,Wisdom comes alone through suffering.,Aeschylus
knowledge,Wisdom comes alone through suffering.,Aeschylus
suffering,Wisdom comes alone through suffering.,Aeschylus
wisdom,Wisdom comes alone through suffering.,Aeschylus
favors,"Wisdom comes through suffering.Trouble, with its memories of pain,Drips in our hearts as we try to sleep,So men against their willLearn to practice moderation.Favours come to us from gods.",Aeschylus
